original_smiles,augmented_smiles,augmentation_type,scaffold,split
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,original,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,n1c2c(cc(cc2)-c2c(cccc2)C)cc(C[C@H](C(=O)N[C@@H]2CCOC(C)(C)C2)C)c1N,random_smiles,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,c1c(C[C@H](C(N[C@@H]2CCOC(C)(C2)C)=O)C)c(N)nc2ccc(cc12)-c1c(C)cccc1,random_smiles,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,[C@H]1(CCOC(C1)(C)C)NC(=O)[C@@H](Cc1cc2c(nc1N)ccc(-c1c(C)cccc1)c2)C,random_smiles,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,c1c(C[C@@H](C)C(N[C@@H]2CCOC(C)(C2)C)=O)c(N)nc2c1cc(cc2)-c1c(cccc1)C,random_smiles,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,c12cc(ccc1nc(N)c(C[C@H](C(=O)N[C@@H]1CCOC(C1)(C)C)C)c2)-c1ccccc1C,random_smiles,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,Cc1ccccc1-c1ccc2[nH]c(=N)c(CC(C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,tautomer,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,CC(Cc1cc2cc(-c3ccccc3C)ccc2[nH]c1=N)=C(O)N[C@@H]1CCOC(C)(C)C1,tautomer,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,CC(Cc1cc2cc(-c3ccccc3C)ccc2nc1N)=C(O)N[C@@H]1CCOC(C)(C)C1,tautomer,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCOCC1,train
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,original,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,N([C@H]([C@H](O)[C@H]1C[C@@H](OCCC)C[NH2+]1)Cc1cc(cc(c1)F)F)C([C@H](CCc1ccccc1)N1CC[C@@](C1=O)(CC(C)C)NC(=O)C)=O,random_smiles,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
